Topic,Count,Name,Representation,Representative_Docs
9,1506,9_bose_condensate_trap_einstein,"['bose', 'condensate', 'trap', 'einstein', 'gas', 'atom', 'pitaevskii', 'bec', 'gross', 'condensation']","['toy model molecular condensate bose gas occurrence molecular bose einstein condensate study atomic system near zero energy resonance binary scatter process large positive scattering length interaction potential model pseudo potential have bind state variational gaussian ansatz density operator discuss thermodynamic property low temperature relative stability system formation atomic bose einstein condensate derive approximate gross pitaevskii equation molecular condensate lead prediction bogoliubov spectrum', 'collective excitation atomic bose einstein condensate apply linear response analysis gross pitaevskii equation obtain excitation frequency bose einstein condensate confine time average orbit potential trap calculated value excellent agreement observe recent experiment', 'hartree fock treatment component bose einstein condensate present numerical study trap binary bose condense gas solve correspond hartree fock equation density profile binary bose gas solve harmonic trap potential function temperature dimension find symmetry break dimensional case condensate separate present phase diagram dimensional case different region binary condensate single condensate eventually ordinary gas function temperature interaction strength atom']"
10,1432,10_dust_line_emission_cloud,"['dust', 'line', 'emission', 'cloud', 'disk', 'nebula', 'molecular', 'grain', 'abundance', 'star']","['study galactic star form region ira s infrared radio wavelength present infrared radio continuum observation s star form region massive star cluster observe region contain different class young stellar object near infrared colour colour colour magnitude diagram study discuss nature source discover knot molecular hydrogen emission micron central region s knot clearly see diffuse emission north west direction probably obscure herbig haro object high sensitivity high resolution radio continuum image gmrt observation mhz interesting arc shape structure interaction h ii region adjacent molecular cloud ionization interface h ii region molecular cloud clearly see compare radio molecular hydrogen br gamma image emission carrier unidentified infrared band mid infrared micron possibly pah extract midcourse space experiment survey micron compare radio emission hire process iras map micron comparison spatial distribution temperature optical depth warm dust component s region generate mid infrared image', 'physical structure co abundance low mass protostellar envelope present radiative transfer modelling envelope sample low mass protostar pre stellar core aim set realistic physical model use chemical description source density temperature profile envelope constrain radial profile obtain scuba map micron measurement source flux range micron mm density envelope au describe single power law class source p range typical uncertainty source flat profile asymmetry presence outer constant density region significant difference find class source power law fit fail pre stellar core support recent result core central source heating derived physical model input monte carlo modelling submillimeter emission find class object typically co abundance close find local molecular cloud class source pre stellar core low abundance order magnitude imply significant depletion occur early phase star formation isotopic line fit constant fractional co abundance envelope line significantly underestimate possibly contribution ambient molecular cloud material observed emission difference class object relate property co ice', 'far infrared molecular line observation lynd study cold gas dust map dark cloud far infrared isophot photometer aboard iso satellite observation possible time study property large dust grain confusion small grain observation clear colour temperature variation likely cause change emission property dust particle cloud core far infrared colour temperature drop datum allow new determination cloud mass mass distribution mass radius arcmin cloud centre msun map cloud molecular line include specie believe tracer cold dense molecular material detect strong anticorrelation emission dust colour temperature particular emission detect maximum emission colour temperature rise emission follow distribution co isotope strong emission peak comparison map show sharp variation relative intensity specie morphologically dust emission trace distribution dense molecular material see line comparison dust column density show deplete factor cloud core present result b band starcount extinction well correlate emission base correlation low extinction value deduce value visual extinction cloud centre']"
11,1327,11_ising_critical_ise_pott,"['ising', 'critical', 'ise', 'pott', 'exponent', 'random', 'model', 'carlo', 'monte', 'lattice']","['correlation function random bond pott model study spin spin energy energy correlation function ising state pott model random bond critical point procedure employ renormalisation group approach perturbation series conformal field theory represent pure model ising model obtain crossover amplitude correlation function change critical exponent potts model find shift critical exponent produce randomness comparison numerical datum discuss briefly', 'ise model l function correlation function calculate dimensional ising model free boundary condition dimensional ising model periodic boundary condition', 'ise exponent dimensional site dilute ising model study site dilute ising model dimension monte carlo simulation finite size scale technique compute critical exponent observe deviation pure ising one difference explain effect logarithmic correction require change universality class']"
12,1296,12_glass_liquid_spin_glassy,"['glass', 'liquid', 'spin', 'glassy', 'supercoole', 'replica', 'dynamic', 'temperature', 'relaxation', 'transition']","['potential energy landscape finite size mean field model glass connect spin glass model discontinuous transition thermodynamic limit equilibrium property high temperature phase describe schematic mode coupling theory super cooled liquid finite size fully connect spin glass model exhibit property typical lennard jones system near critical glass transition thermodynamic rule energy minima distribution study open way consider activate process real glass finite size correction calculation saddle point approximation mean field spin glass model', 'computer simulation supercoole liquid glass brief introduction dynamic supercoole liquid discuss advantage drawback computer simulation system subsequently present result computer simulation dynamic fragile glass binary lennard jones system compare strong glass comparison give evidence reason different temperature dependence type glass former lie transport mechanism particle vicinity critical temperature mode coupling theory fragile glass describe ideal version mode coupling theory strong glass dominate activate process article review simulation glass former dynamic glass transition temperature investigate simulation help establish connection system self generate disorder structural glass quench disorder spin glass', 'spin glass chiral glass transition heisenberg spin glass model dimension dimensional heisenberg spin glass model investigate non equilibrium relaxation method paramagnetic state finite size effect non equilibrium relaxation analyze relaxation function spin glass susceptibility chiral glass susceptibility infinite size system obtain finite time scale analysis give spin glass transition chiral glass transition result suggest transition occur simultaneously critical exponent spin glass susceptibility estimate make agreement experiment insulating canonical spin glass material']"
13,1282,13_percolation_walk_random_diffusion,"['percolation', 'walk', 'random', 'diffusion', 'exponent', 'process', 'probability', 'brownian', 'site', 'reaction']","['dynamic phase transition diffusion limit reaction non equilibrium system display dynamic phase transition active absorb state fluctuation cease entirely base field theory representation master equation critical behavior analyze mean renormalization group result universality class single species system review generically critical exponent direct percolation reggeon field theory critical dimension local particle number parity conservation offspring branching annihilate random walk imply inactive phase emerge characterize power law pair annihilation reaction lead different critical exponent transition local process memory pair contact process diffusion represent non trivial universality class consistent treatment restrict site occupation quench random reaction rate important open issue', 'percolation random environment consider bond percolation square lattice perfectly correlate random probability accord scale consideration mapping random walk problem result monte carlo simulation critical behavior system vary degree disorder govern new random fix point anisotropic scale property weak disorder magnetization anisotropy exponent non universal strong disorder system scale infinite randomness fix point critical exponent exactly know', 'fast monte carlo algorithm site bond percolation describe detail new highly efficient algorithm study site bond percolation lattice algorithm measure observable quantity percolation system value site bond occupation probability zero time scale linearly size system demonstrate algorithm investigate number issue percolation theory include position percolation transition site percolation square lattice stretch exponential behavior span probability away critical point size giant component site percolation random graph']"
14,1276,14_lense_lens_image_gravitational,"['lense', 'lens', 'image', 'gravitational', 'shear', 'galaxy', 'magnification', 'redshift', 'quasar', 'weak']","['investigation gravitational lens mass model previously report discovery strong gravitational lense faint elliptical galaxy hst investigate potential usefulness put constraint lens mass model compare ellipsoidal surface mass distribution include core radius model mass distribution assume axis ratio orientation galaxy light study model use spherical mass distribution have profile empirical follow predict cdm simulation model include gravitational shear term model parameter associate error derive dimensional analysis observe hst image maximum likelihood procedure iteratively converge simultaneously model lense elliptical galaxy lense image component motivation study distinguish mass model technique find despite image datum location integrated magnitude lens fit equally mass model mass model generate similar configuration different magnification cross sectional area caustic quantity govern discovery probability lense survey difference contribute considerable cosmic scatter estimate cosmological constant gravitational lens', 'gravitational lense concordance lcdm universe importance secondary matter line sight date strong gravitational lense analysis model giant arc system multiple quasar image assume deflecting matter concentrate lens plane certain distance thin lens approximation observed case lens redshift identify contribute image splitting report quantitative investigation importance frequency significant multiple lense agent use multi lens plane simulation evaluate frequently lens plane combine essential multiple imaging compare case single lens plane provide focus supercritical find fraction case lens plane contribute significantly multi image lense situation strong function source redshift source redshift unity lens involve single mass concentration typical scenario source redshift strongly lense quasar arc occur significant matter contribution additional lens plane case additional plane significant contribution surface mass density primary lens overestimate additional contribution recognize', 'probe universe weak lense gravitational lens provide crucial information geometry universe cosmological scenario formation structure history component look time review focus recent result obtain year analysis weak lense regime interest weak lense probe dark matter study coupling light mass scale cluster galaxy large scale structure galaxy discuss present impact weak lense study distant galaxy population lense source function redshift finally discuss potential interest weak lense constrain cosmological parameter pure geometrical effect observe peculiar lens coupling weak lense cmb']"
15,1259,15_monopole_gauge_lattice_abelian,"['monopole', 'gauge', 'lattice', 'abelian', 'confinement', 'action', 'vortex', 'wilson', 'topological', 'tension']","['study gauge monopole dynamic investigate gauge confinement mechanism monopole condensation lattice qcd abelian projection find string tension reproduce monopole polyakov gauge behavior polyakov loop critical temperature explain uniformity breaking monopole current gauge', 'monopole condensation lattice qcd short review monte carlo study quark confinement lattice qcd abelian projection maximally abelian polyakov gauge see monopole responsible confinement block spin transformation dual lattice suggest lattice qcd monopole condense phase confinement phase infinite volume limit', 'abelian monopole vortex condensation lattice gauge theory study abelian monopole vortex condensation lattice pure gauge theory condensation detect mean disorder parameter define term gauge invariant effective action introduce lattice functional dirac monopole condense confine phase lattice gauge theory abelian monopole abelian vortex condense confine phase lattice gauge theory']"
16,1251,16_nucleus_shell_nuclear_neutron,"['nucleus', 'shell', 'nuclear', 'neutron', 'isotope', 'quadrupole', 'hartree', 'calculation', 'odd', 'pair']","['isovector pair odd proton rich nucleus simple model base group suggest like particle neutron proton component isovector pair correlation odd nucleus pauli block effect emerge monte carlo shell model calculation proton rich nucleus fp shell small difference model representation effect odd nucleon competition like particle neutron proton pairing understand reduce level version model hand odd odd nucleus n equal z disagree severely shell model incorrectly predict ground state isospin shell model calculation fp shell nucleus extend finite temperature decrease block', 'relativistic hartree bogoliubov description neutron drip line light nucleus relativistic hartree bogoliubov theory apply mean field approximation description property light nucleus large neutron excess pair correlation coupling particle continuum state describe finite range body force standard parameter set mean field lagrangian pair interaction gogny type self consistent solution coordinate space calculate ground state number neutron rich nucleus model predict location neutron drip line reduction spin orbit interaction radius change surface property formation neutron skin neutron halo', 'relativistic mean field description nucleus drip line present review recent application relativistic mean field theory structure nucleus close drip line system extreme isospin value relativistic hartree bogoliubov model provide unified self consistent description mean field pair correlation model apply study structure phenomenon include formation neutron skin neutron halo light nucleus mass region s d neutron shell strong isospin dependence effective spin orbit interaction result modification surface property suppression spherical shell gap neutron rich nucleus related phenomenon deformation shape coexistence proton drip line spherical nucleus z ground state proton radioactivity region deform nuclei z']"
17,1241,17_quantum_gate_algorithm_qubit,"['quantum', 'gate', 'algorithm', 'qubit', 'computer', 'computation', 'error', 'code', 'circuit', 'grover']","['universal set quantum gate detect jump error correct quantum code universal set quantum gate construct recently develop jump error correct quantum code quantum code capable correct error arise spontaneous decay distinguishable qubit statistically independent reservoir propose universal quantum gate construct help ising type hamiltonian act physical qubit way guarantee relevant error correct code space leave time application quantum gate propose entanglement gate particularly suited scalable quantum processing unit elementary register base qubit system', 'programmable network quantum algorithm implementation quantum computer require realization large number n qubit unitary operation represent possible oracle quantum algorithm standard way uniformly generate class n qubit gate develop method generate arbitrary control phase shift operation single network qubit qubit operation kind network adapt physical implementation quantum computing suitable realize deutsch jozsa algorithm grover search algorithm', 'demonstrate quantum algorithm acceleration nmr quantum computer general quantum circuit construct elementary gate qubit gate cnot gate possible speed execution time give circuit merge elementary gate large module desire unitary matrix express algorithm directly implement demonstrate take qubit grover algorithm implement nmr quantum computation pseudopure state generate cyclic permutation state population exact time optimal solution knowledge obtain self contain quantum algorithm']"
18,1238,18_universe_cosmological_dark_quintessence,"['universe', 'cosmological', 'dark', 'quintessence', 'cosmology', 'constant', 'supernovae', 'energy', 'scalar', 'ia']","['constraint dark energy equation state recent supernova datum measurement suggest universe substantial dark energy component recent datum type ia supernovae dark energy density good agreement measurement dark energy assume cosmological constant examine extent datum constraint general equation state dark energy', 'cosmological parameter dark energy large scale structure review current status cosmological parameter dark energy large scale structure theoretical observational perspective present basic cosmological parameter discuss measure different observational technique describe recent evidence dark energy type ia supernovae dynamical model dark energy quintessence describe relate theory gravity particle physic basic theory structure formation gravitational instability review finally describe new observational probe large structure universe constrain cosmological parameter', 'equivalence different dark matter energy scenario show phenomenological model cosmological constant type scale factor universe hubble constant equivalent quintessence model scalar potential form constant equation state cosmic fluid describe parameter equation state cosmic fluid dark energy determine parameter actual dark energy define equation state cosmic fluid form rise cosmic acceleration depend dark energy universe']"
